antecedent	consequent	count	mean_confidence	max_confidence	mean_lift	max_lift
v@GO0009605	h@GO0044444	18	0.7517	0.8061	0.5447	0.5841
v@GO0009607	h@GO0044444	18	0.7517	0.8061	0.5447	0.5841
v@GO0016020	h@GO0044444	22	0.7612	0.8118	0.5516	0.5882
v@GO0019042	h@GO0044444	13	0.8097	0.8471	0.5433	0.6138
v@GO0019048	h@GO0044444	20	0.7595	0.8471	0.5503	0.6138
v@GO0019222	h@GO0044444	13	0.7574	0.8471	0.5488	0.6138
v@GO0023051	h@GO0044444	17	0.7558	0.8082	0.5476	0.5856
v@GO0032879	h@GO0044444	20	0.7923	0.8126	0.5548	0.5888
v@GO0033644	h@GO0044444	23	0.7686	0.8126	0.5569	0.5888
v@GO0033655	h@GO0044444	26	0.7838	0.8544	0.5679	0.6191
v@GO0044094	h@GO0044444	25	0.7449	0.8304	0.5398	0.6017
v@GO0044217	h@GO0044444	23	0.7686	0.8126	0.5569	0.5888
v@GO0044419	h@GO0044444	26	0.7609	0.8471	0.5514	0.6138
v@GO0044425	h@GO0044444	22	0.7629	0.8107	0.5528	0.5874
v@GO0048519	h@GO0044444	24	0.7596	0.8082	0.5504	0.5856
v@GO0048583	h@GO0044444	27	0.7592	0.8082	0.5501	0.5856
v@GO0050690	h@GO0044444	18	0.7517	0.8061	0.5447	0.5841
v@GO0050794	h@GO0044444	15	0.7516	0.8471	0.5446	0.6138
v@GO0051707	h@GO0044444	18	0.7517	0.8061	0.5447	0.5841
v@GO0065009	h@GO0044444	18	0.7637	0.8471	0.5534	0.6138
v@IPR000427	h@GO0044444	12	0.7393	0.7431	0.5302	0.5384
v@IPR001889	h@GO0044444	3	0.7572	0.7822	0.5486	0.5668
v@IPR002475	h@GO0044444	12	0.783	0.8082	0.543	0.5856
v@IPR004186	h@GO0044444	12	0.7393	0.7431	0.5302	0.5384
v@IPR004289	h@GO0044444	3	0.7567	0.8239	0.5052	0.597
v@IPR004290	h@GO0044444	3	0.7783	0.84	0.5194	0.6087
v@IPR005030	h@GO0044444	7	0.7943	0.8186	0.5566	0.5931
v@IPR006772	h@GO0044444	4	0.7868	0.8647	0.5117	0.6266
v@IPR007619	h@GO0044444	8	0.795	0.8544	0.5275	0.6191
v@IPR007706	h@GO0044444	1	0.7358	0.7358	0.5332	0.5332
v@IPR010077	h@GO0044444	2	0.8445	0.8539	0.612	0.6188
v@IPR010677	h@GO0044444	1	0.7721	0.7721	0.5594	0.5594
v@IPR010881	h@GO0044444	13	0.8097	0.8471	0.5433	0.6138
v@IPR010918	h@GO0044444	2	0.8445	0.8539	0.612	0.6188
v@IPR013672	h@GO0044444	3	0.7675	0.79	0.5562	0.5724
v@IPR016188	h@GO0044444	2	0.8445	0.8539	0.612	0.6188
